Division,Weight Class,Lift,Name,Kilos,Pounds,Date,Location,Event,Status,HasRecord
JUNIOR MEN 13 TO 15,52kg/114.5lb,Squat,Aaron Babet,122.5,270.1,11/10/2018,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,52kg/114.5lb,Bench,Aaron Babet,70.0,154.3,11/10/2018,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,52kg/114.5lb,Deadlift,Aaron Babet,155.0,341.7,11/10/2018,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,52kg/114.5lb,TOTAL,Aaron Babet,347.5,766.1,11/10/2018,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,56kg/123.5lb,Squat,Aaron Babet,137.5,303.1,02/09/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,56kg/123.5lb,Bench,Aaron Babet,77.5,170.9,02/09/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,56kg/123.5lb,Deadlift,Aaron Babet,155.0,341.7,02/09/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,56kg/123.5lb,TOTAL,Aaron Babet,370.0,815.7,02/09/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,60kg/132.2lb,Squat,Micah Sweeney,100.0,220.5,09/16/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,60kg/132.2lb,Bench,Benjamin Truax,47.5,104.7,12/11/2021,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,60kg/132.2lb,Deadlift,Micah Sweeney,122.5,270.1,09/16/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,60kg/132.2lb,TOTAL,Micah Sweeney,275.0,606.3,09/16/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,67.5kg/148.7lb,Squat,Ryan Jacobs,147.5,325.2,08/07/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,67.5kg/148.7lb,Bench,Ryan Jacobs,92.5,203.9,08/07/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,67.5kg/148.7lb,Deadlift,Ryan Jacobs,200.0,440.9,08/07/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,67.5kg/148.7lb,TOTAL,Ryan Jacobs,440.0,970.0,08/07/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,75kg/165.2lb,Squat,Elijah Horstman,197.5,435.4,02/06/2021,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,75kg/165.2lb,Bench,Elijah Horstman,112.5,248.0,02/06/2021,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,75kg/165.2lb,Deadlift,Ben Meadows,257.5,567.7,04/22/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,75kg/165.2lb,TOTAL,Ben Meadows,520.0,1146.4,04/22/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,82.5kg/181.7lb,Squat,Lance Jelen,205.0,451.9,08/01/2020,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,82.5kg/181.7lb,Bench,Lance Jelen,140.0,308.6,08/01/2020,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,82.5kg/181.7lb,Deadlift,Lance Jelen,227.5,501.6,08/01/2020,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,82.5kg/181.7lb,TOTAL,Lance Jelen,572.5,1262.1,08/01/2020,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,90kg/198.2lb,Squat,Lance Jelen,222.5,490.5,11/15/2020,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,90kg/198.2lb,Bench,Lance Jelen,152.5,336.2,11/15/2020,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,90kg/198.2lb,Deadlift,Mason Addair,247.5,545.64,2024-11-09,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,90kg/198.2lb,TOTAL,Lance Jelen,597.5,1317.3,11/15/2020,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,100kg/220lb,Squat,Peyton Frank,162.5,358.3,10/01/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,100kg/220lb,Bench,Peyton Frank,112.5,248.0,10/01/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,100kg/220lb,Deadlift,Peyton Frank,242.5,534.6,10/01/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,100kg/220lb,TOTAL,Peyton Frank,517.5,1140.9,10/01/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,110kg/242lb,Squat,Gaven Frey,202.5,446.4,05/16/2021,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,110kg/242lb,Bench,Zachary Trent,147.5,325.2,08/29/2020,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,110kg/242lb,Deadlift,Parker Herring,255.0,562.2,01/23/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,110kg/242lb,TOTAL,Parker Herring,572.5,1262.1,01/23/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,125kg/275lb,Squat,Zachary Trent,227.5,501.6,12/12/2020,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,125kg/275lb,Bench,Zachary Trent,150.0,330.7,12/12/2020,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,125kg/275lb,Deadlift,Waylan Miller,232.5,512.57,2025-10-04,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,125kg/275lb,TOTAL,Zachary Trent,607.5,1339.3,12/12/2020,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,140kg/308.5lb,Squat,Austin Adkins,180.0,396.8,07/24/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,140kg/308.5lb,Bench,Austin Adkins,107.5,237.0,07/24/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,140kg/308.5lb,Deadlift,Austin Adkins,177.5,391.3,07/24/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,140kg/308.5lb,TOTAL,Austin Adkins,465.0,1025.1,07/24/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 13 TO 15,140+kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 13 TO 15,140+kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 13 TO 15,140+kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 13 TO 15,140+kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 16 TO 17,52kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 16 TO 17,52kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 16 TO 17,52kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 16 TO 17,52kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 16 TO 17,56kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 16 TO 17,56kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 16 TO 17,56kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 16 TO 17,56kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 16 TO 17,60kg/132.2lb,Squat,Dawson  Daniels ,120.0,264.6,10/17/2021,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,60kg/132.2lb,Bench,Dawson  Daniels ,80.0,176.4,10/17/2021,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,60kg/132.2lb,Deadlift,Dawson  Daniels ,150.0,330.7,10/17/2021,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,60kg/132.2lb,TOTAL,Dawson  Daniels ,342.5,755.1,10/17/2021,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,67.5kg/148.7lb,Squat,Lucas Lindemann,165.0,363.8,08/07/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,67.5kg/148.7lb,Bench,Daniel Mogilevsky,110.0,242.5,10/25/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,67.5kg/148.7lb,Deadlift,Daniel Mogilevsky,200.0,440.9,10/25/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,67.5kg/148.7lb,TOTAL,Ryan Jacobs,457.5,1008.6,02/26/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,75kg/165.2lb,Squat,Garret Miller,212.5,468.5,12/17/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,75kg/165.2lb,Bench,Jacob Boyles,140.0,308.65,05/04/2024,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,75kg/165.2lb,Deadlift,Garret Miller,265.0,584.2,12/17/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,75kg/165.2lb,TOTAL,Jacob Boyles,597.5,1317.26,05/04/2024,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,82.5kg/181.7lb,Squat,Zane Wittekind,230.0,507.1,12/17/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,82.5kg/181.7lb,Bench,Erik Deal,130.0,286.6,02/20/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,82.5kg/181.7lb,Deadlift,Luke Giddings,245.0,540.13,2025-05-10,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,82.5kg/181.7lb,TOTAL,Luke Giddings,577.5,1273.17,2025-05-10,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,90kg/198.2lb,Squat,Lance Jelen,252.5,556.7,02/26/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,90kg/198.2lb,Bench,Lance Jelen,165.0,363.8,02/26/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,90kg/198.2lb,Deadlift,Mason Addair,265.0,584.22,2025-07-07,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,90kg/198.2lb,TOTAL,Lance Jelen,680.0,1499.1,02/26/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,100kg/220lb,Squat,Lance Jelen,282.5,622.8,09/10/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,100kg/220lb,Bench,Lance Jelen,177.5,391.3,09/10/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,100kg/220lb,Deadlift,Logan Beaver,280.0,617.3,02/26/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,100kg/220lb,TOTAL,Lance Jelen,732.5,1614.9,09/10/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,110kg/242lb,Squat,Gabriel Hamrock,230.0,507.1,02/03/2024,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,110kg/242lb,Bench,Landon Taylor,155.0,341.7,07/13/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,110kg/242lb,Deadlift,Connor Raybould,277.5,611.8,06/26/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,110kg/242lb,TOTAL,Landon Taylor,600.0,1322.8,07/13/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,125kg/275lb,Squat,Zachary Trent,250.0,551.2,11/07/2021,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,125kg/275lb,Bench,Zachary Trent,162.5,358.3,11/07/2021,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,125kg/275lb,Deadlift,Tyler Daugherty,250.0,551.15,2024-09-07,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,125kg/275lb,TOTAL,Zachary Trent,650.0,1433.0,11/07/2021,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,140kg/308.5lb,Squat,Brad Leonard,238.0,524.7,04/18/2021,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,140kg/308.5lb,Bench,Brad Leonard,147.5,325.2,03/06/2021,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,140kg/308.5lb,Deadlift,Brad Leonard,240.0,529.1,04/18/2021,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,140kg/308.5lb,TOTAL,Brad Leonard,625.5,1379.0,04/18/2021,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,140+kg/SHW,Squat,Brad Leonard,252.5,556.7,09/11/2021,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,140+kg/SHW,Bench,Brad Leonard,165.0,363.8,05/31/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,140+kg/SHW,Deadlift,Brad Leonard,267.5,589.7,05/31/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 16 TO 17,140+kg/SHW,TOTAL,Brad Leonard,675.0,1488.1,09/11/2021,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,52kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 18 TO 19,52kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 18 TO 19,52kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 18 TO 19,52kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 18 TO 19,56kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 18 TO 19,56kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 18 TO 19,56kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 18 TO 19,56kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 18 TO 19,60kg/132.2lb,Squat,PARKER Rembis,173.0,381.4,02/23/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,60kg/132.2lb,Bench,PARKER Rembis,100.5,221.6,02/23/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,60kg/132.2lb,Deadlift,PARKER Rembis,197.5,435.4,02/23/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,60kg/132.2lb,TOTAL,PARKER Rembis,471.0,1038.4,02/23/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,67.5kg/148.7lb,Squat,Kenneth Chromik,195.0,429.9,06/23/2018,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,67.5kg/148.7lb,Bench,Dominick Ritucci,110.0,242.5,06/08/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,67.5kg/148.7lb,Deadlift,Kenneth Chromik,225.0,496.0,06/23/2018,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,67.5kg/148.7lb,TOTAL,Kenneth Chromik,520.0,1146.4,06/23/2018,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,75kg/165.2lb,Squat,Brandon Vincenzo,220.0,485.0,06/08/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,75kg/165.2lb,Bench,Chris Beeman,135.0,297.62,05/04/2024,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,75kg/165.2lb,Deadlift,Braden Talbott,245.0,540.1,05/28/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,75kg/165.2lb,TOTAL,Braden Talbott,575.0,1267.7,05/28/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,82.5kg/181.7lb,Squat,Zane Wittekind,227.5,501.6,04/15/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,82.5kg/181.7lb,Bench,Krsna-Chaitanya Vigliotti,137.5,303.1,05/29/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,82.5kg/181.7lb,Deadlift,Javarryon Fort,287.5,633.8,05/16/2021,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,82.5kg/181.7lb,TOTAL,Javarryon Fort,677.5,1493.6,05/16/2021,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,90kg/198.2lb,Squat,Macallan Butzer,247.5,545.6,02/03/2024,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,90kg/198.2lb,Bench,Nathan Wloszektherens,152.5,336.2,12/11/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,90kg/198.2lb,Deadlift,Landen Wagner,287.5,633.83,2025-11-15,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,90kg/198.2lb,TOTAL,Landen Wagner,670.0,1477.1,2025-11-15,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,100kg/220lb,Squat,Jack Pacek,275.0,606.3,01/29/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,100kg/220lb,Bench,Nic Burris,170.0,374.8,03/13/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,100kg/220lb,Deadlift,Macallan Butzer,317.5,699.97,2025-05-10,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,100kg/220lb,TOTAL,Macallan Butzer,755.0,1664.49,2025-05-10,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 18 TO 19,110kg/242lb,Squat,Quincy Sellers,310.0,683.4,09/11/2022,ohio,raw-powerlifting,drug-tested,True
